"combined_pvalue" "adjusted_pvalue"
"Slc15a3" 0.614605233921851 1
"Slc17a6" 5.55e-17 6.6080183786138e-16
"Slc17a7" 6.61917791355826e-07 4.79165887872025e-06
"Slc17a8" 0.0182962300617147 0.114178796676532
"Slc18a2" 5.55e-17 6.6080183786138e-16
"Slco1a4" 4.29173909743952e-08 3.18321031345337e-07
"Sox4" 1.11022302462516e-16 1.02512306578843e-15
"Sox6" 1.11022302462516e-16 1.02512306578843e-15
"Sox8" 3.82230846973641e-09 2.90650197724726e-08
"Sp9" 5.55e-17 6.6080183786138e-16
"Synpr" 1.11022302462516e-16 1.02512306578843e-15
"Syt2" 5.55e-17 6.6080183786138e-16
"Syt4" 5.55e-17 6.6080183786138e-16
"Sytl4" 5.55e-17 6.6080183786138e-16
"Tacr1" 9.9031893796564e-14 8.45397716216616e-13
"Tacr3" 0.000111695565742198 0.00075426331442507
"Tiparp" 1.55431223447522e-15 1.36550373423468e-14
"Tmem108" 2.95319324550292e-14 2.54503886466407e-13
"Traf4" 0.0503753169452513 0.303891381806684
"Trhr" 1.11022302462516e-16 1.02512306578843e-15
"Ttn" 0.20250883597823 1
"Ttyh2" 5.55e-17 6.6080183786138e-16
"Adcyap1" 5.55e-17 6.6080183786138e-16
"Cartpt" 5.55e-17 6.6080183786138e-16
"Cck" 5.55e-17 6.6080183786138e-16
"Crh" 5.55e-17 6.6080183786138e-16
"Fos" 5.55e-17 6.6080183786138e-16
"Gal" 5.55e-17 6.6080183786138e-16
"Gnrh1" 5.55e-17 6.6080183786138e-16
"Mbp" 5.55e-17 6.6080183786138e-16
"Nnat" 5.55e-17 6.6080183786138e-16
"Nts" 5.55e-17 6.6080183786138e-16
"Oxt" 5.55e-17 6.6080183786138e-16
"Penk" 5.55e-17 6.6080183786138e-16
"Scg2" 5.55e-17 6.6080183786138e-16
"Sln" 5.55e-17 6.6080183786138e-16
"Sst" 5.55e-17 6.6080183786138e-16
"Tac1" 5.55e-17 6.6080183786138e-16
"Tac2" 5.55e-17 6.6080183786138e-16
"Th" 5.55e-17 6.6080183786138e-16
"Trh" 5.55e-17 6.6080183786138e-16
"Ucn3" 5.55e-17 6.6080183786138e-16
"Vgf" 5.55e-17 6.6080183786138e-16
